iter	Passed	Remaining
0	10	10886
1	13	6633
2	17	5874
3	21	5259
4	26	5226
5	29	4896
6	37	5319
7	40	4970
8	46	5131
9	53	5326
10	60	5413
11	66	5499
12	83	6307
13	87	6167
14	97	6397
15	103	6347
16	111	6464
17	116	6355
18	129	6682
19	133	6546
20	136	6343
21	145	6479
22	157	6678
23	166	6787
24	181	7075
25	209	7859
26	218	7885
27	224	7794
28	230	7732
29	240	7763
30	244	7631
31	251	7596
32	269	7901
33	275	7817
34	280	7744
35	301	8074
36	341	8896
37	355	9000
38	358	8825
39	375	9019
40	405	9484
41	411	9396
42	436	9713
43	459	9992
44	480	10203
45	490	10176
46	506	10261
47	531	10532
48	558	10836
49	573	10894
50	589	10960
51	593	10823
52	601	10746
53	622	10912
54	624	10731
55	629	10619
56	653	10817
57	661	10736
58	666	10637
59	699	10962
60	712	10965
61	720	10904
62	736	10950
63	753	11026
64	788	11338
65	795	11261
66	801	11160
67	809	11092
68	810	10930
69	817	10861
70	820	10734
71	845	10894
72	852	10825
73	853	10676
74	857	10569
75	859	10447
76	861	10327
77	874	10339
78	877	10234
79	891	10253
80	895	10160
81	935	10478
82	945	10447
83	953	10397
84	965	10390
85	967	10284
86	970	10186
87	974	10103
88	979	10025
89	1006	10175
90	1012	10117
91	1024	10115
92	1030	10050
93	1036	9990
94	1046	9965
95	1055	9943
96	1066	9932
97	1076	9911
98	1080	9830
99	1083	9752
100	1088	9686
101	1094	9638
102	1100	9586
103	1105	9526
104	1122	9566
105	1127	9508
106	1138	9503
107	1144	9451
108	1146	9373
109	1174	9500
110	1176	9424
111	1192	9456
112	1202	9437
113	1222	9501
114	1234	9497
115	1246	9499
116	1253	9461
117	1264	9453
118	1280	9476
119	1313	9632
120	1329	9659
121	1357	9772
122	1376	9816
123	1409	9957
124	1460	10221
125	1475	10233
126	1505	10347
127	1537	10473
128	1547	10445
129	1548	10365
130	1579	10478
131	1595	10493
132	1609	10492
133	1612	10420
134	1640	10512
135	1643	10441
136	1685	10619
137	1700	10624
138	1719	10650
139	1724	10595
140	1737	10582
141	1750	10575
142	1810	10848
143	1822	10830
144	1849	10905
145	1853	10839
146	1883	10927
147	1886	10861
148	1927	11011
149	1935	10970
150	1958	11011
151	1972	11004
152	2100	11626
153	2130	11703
154	2145	11694
155	2147	11620
156	2150	11547
157	2185	11645
158	2187	11572
159	2214	11628
160	2236	11654
161	2248	11630
162	2257	11592
163	2274	11596
164	2285	11566
165	2288	11496
166	2288	11417
167	2354	11657
168	2363	11620
169	2366	11551
170	2414	11707
171	2427	11687
172	2436	11647
173	2457	11664
174	2464	11616
175	2468	11556
176	2485	11556
177	2489	11498
178	2493	11434
179	2499	11385
180	2503	11326
181	2507	11270
182	2520	11251
183	2522	11185
184	2524	11120
185	2526	11055
186	2528	10994
187	2530	10929
188	2532	10867
189	2534	10804
190	2536	10742
191	2543	10702
192	2548	10655
193	2550	10597
194	2564	10586
195	2594	10642
196	2621	10687
197	2633	10664
198	2640	10628
199	2647	10591
200	2651	10541
201	2654	10486
202	2667	10471
203	2670	10421
204	2678	10386
205	2686	10353
206	2688	10299
207	2701	10286
208	2704	10236
209	2707	10185
210	2716	10159
211	2719	10107
212	2730	10089
213	2733	10041
214	2736	9992
215	2749	9980
216	2752	9931
217	2758	9894
218	2761	9846
219	2789	9888
220	2791	9840
221	2821	9889
222	2822	9834
223	2845	9857
224	2858	9845
225	2865	9815
226	2875	9793
227	2885	9769
228	2926	9852
229	2935	9828
230	2947	9813
231	2952	9774
232	2956	9733
233	2961	9695
234	2969	9665
235	2972	9622
236	2979	9591
237	2981	9544
238	3004	9566
239	3014	9546
240	3023	9522
241	3026	9478
242	3029	9438
243	3032	9394
244	3042	9376
245	3045	9335
246	3048	9293
247	3052	9256
248	3059	9226
249	3066	9200
250	3085	9208
251	3087	9164
252	3095	9138
253	3099	9102
254	3104	9070
255	3107	9031
256	3115	9006
257	3117	8964
258	3119	8923
259	3125	8895
260	3135	8878
261	3139	8843
262	3144	8811
263	3148	8777
264	3169	8792
265	3211	8862
266	3216	8829
267	3225	8809
268	3228	8772
269	3231	8737
270	3246	8734
271	3252	8706
272	3260	8683
273	3263	8646
274	3273	8629
275	3275	8592
276	3276	8552
277	3310	8598
278	3322	8585
279	3347	8607
280	3353	8581
281	3357	8547
282	3384	8575
283	3388	8542
284	3414	8565
285	3437	8581
286	3464	8607
287	3466	8569
288	3503	8618
289	3505	8581
290	3508	8548
291	3526	8551
292	3572	8619
293	3577	8590
294	3590	8581
295	3593	8546
296	3611	8547
297	3617	8521
298	3619	8486
299	3655	8529
300	3677	8540
301	3701	8556
302	3708	8530
303	3723	8525
304	3750	8545
305	3773	8558
306	3786	8547
307	3813	8567
308	3815	8533
309	3818	8498
