iter	Passed	Remaining
0	58	58692
1	63	31574
2	67	22469
3	72	17986
4	76	15256
5	81	13480
6	85	12174
7	89	11065
8	93	10337
9	98	9718
10	102	9221
11	107	8836
12	111	8476
13	116	8178
14	120	7927
15	125	7705
16	129	7503
17	134	7316
18	138	7155
19	143	7045
20	148	6935
21	153	6822
22	158	6725
23	163	6636
24	168	6565
25	172	6473
26	177	6378
27	181	6315
28	186	6251
29	191	6185
30	195	6121
31	200	6058
32	204	5999
33	209	5950
34	213	5890
35	217	5813
36	221	5769
37	226	5726
38	230	5692
39	235	5649
40	239	5613
41	244	5582
42	249	5544
43	253	5512
44	258	5484
45	262	5450
46	267	5422
47	272	5397
48	276	5370
49	281	5347
50	286	5323
51	290	5296
52	294	5268
53	299	5239
54	303	5208
55	307	5179
56	311	5150
57	315	5124
58	319	5097
59	323	5074
60	328	5051
61	332	5027
62	336	5005
63	340	4981
64	344	4959
65	348	4938
66	353	4915
67	357	4901
68	361	4882
69	365	4860
70	369	4840
71	374	4822
72	378	4802
73	382	4783
74	386	4763
75	390	4745
76	394	4727
77	398	4710
78	402	4696
79	406	4677
80	410	4663
81	415	4648
82	419	4633
83	423	4619
84	427	4604
85	431	4590
86	437	4595
87	442	4582
88	446	4571
89	450	4558
90	455	4545
91	459	4533
92	463	4519
93	467	4504
94	471	4493
95	475	4478
96	479	4464
97	483	4451
98	487	4441
99	492	4428
100	496	4416
101	500	4405
102	504	4395
103	508	4384
104	513	4373
105	517	4362
106	521	4352
107	525	4340
108	529	4330
109	533	4319
110	538	4310
111	542	4301
112	546	4291
113	550	4281
114	555	4271
115	559	4262
116	563	4252
117	567	4243
118	571	4232
119	575	4222
120	579	4212
121	584	4203
122	588	4194
123	592	4184
124	596	4174
125	600	4166
126	604	4158
127	609	4151
128	613	4144
129	617	4135
130	622	4126
131	626	4117
132	630	4109
133	634	4102
134	639	4094
135	643	4085
136	647	4076
137	651	4069
138	655	4062
139	661	4062
140	666	4061
141	671	4057
142	675	4048
143	679	4040
144	684	4036
145	688	4029
146	693	4024
147	697	4017
148	701	4009
149	706	4002
150	710	3996
151	714	3988
152	719	3982
153	723	3974
154	727	3966
155	732	3960
156	736	3952
157	740	3944
158	744	3936
159	748	3930
160	752	3922
161	757	3918
162	761	3912
163	766	3905
164	770	3897
165	774	3890
166	778	3884
167	783	3880
168	787	3873
169	791	3866
170	795	3857
171	799	3851
172	803	3842
173	808	3836
174	812	3829
175	816	3823
176	820	3815
177	824	3808
178	828	3802
179	833	3795
180	837	3789
181	841	3782
182	845	3776
183	850	3769
184	854	3763
185	858	3757
186	862	3750
187	866	3744
188	871	3737
189	875	3731
190	879	3724
191	883	3718
192	887	3712
