iter	Logloss
0	0.6845592483
1	0.675805703
2	0.6688494671
3	0.6616858487
4	0.6548030764
5	0.647822173
6	0.6413792861
7	0.6343453319
8	0.627078189
9	0.6211095039
10	0.6149343158
11	0.6080436354
12	0.6013731804
13	0.5958164816
14	0.5903813601
15	0.5848845639
16	0.5790004305
17	0.5740284058
18	0.5686857516
19	0.5634051687
20	0.5583075478
21	0.5535322697
22	0.5480119633
23	0.5446976828
24	0.5400137765
25	0.5352800693
26	0.5309594875
27	0.5263223856
28	0.5216636466
29	0.5178333493
30	0.5139629531
31	0.510070905
32	0.506145624
33	0.5022481435
34	0.499222221
35	0.495735197
36	0.4921302217
37	0.4893181188
38	0.485341315
39	0.4818513605
40	0.4793688304
41	0.476555899
42	0.4736579878
43	0.4708235304
44	0.4681386762
45	0.4656483147
46	0.4630617175
47	0.4602216523
48	0.4578687745
49	0.4550735793
50	0.4530936703
51	0.4507358156
52	0.4479335671
53	0.4452411632
54	0.4431980891
55	0.4410366427
56	0.4389651572
57	0.4372458766
58	0.435057026
59	0.4328680006
60	0.430165087
61	0.4280172289
62	0.4260795559
63	0.4240584577
64	0.4219036659
65	0.4201603509
66	0.4184756391
67	0.4168806564
68	0.4155262432
69	0.4136493616
70	0.4117126689
71	0.4097208134
72	0.4086283072
73	0.4069875177
74	0.4050548841
75	0.4035355685
76	0.4019491514
77	0.4003000644
78	0.3985627595
79	0.3972334227
80	0.395643656
81	0.3945768208
82	0.3933395484
83	0.3923726093
84	0.3911081188
85	0.3898971547
86	0.3885519263
87	0.3871478661
88	0.385883651
89	0.3848025225
90	0.3836239545
91	0.3825814693
92	0.3814928032
93	0.3807635317
94	0.3796865034
95	0.378600118
96	0.3772596748
97	0.3763174859
98	0.3752008199
99	0.374050272
100	0.3729196852
101	0.3721477107
102	0.3713829098
103	0.3704226133
104	0.3695271182
105	0.3687056368
106	0.3678455091
107	0.367013407
108	0.3663264116
109	0.3653337038
110	0.3644988277
111	0.3636241946
112	0.3627154791
113	0.3620799117
114	0.3613085463
115	0.3605710676
116	0.3601704084
117	0.359322245
118	0.3583810584
119	0.3575350035
120	0.3571136336
121	0.3563552658
122	0.355797882
123	0.3553643222
124	0.3547380504
125	0.354068328
126	0.3534919369
127	0.3527130542
128	0.3521900986
129	0.3518144094
130	0.3509215999
131	0.3502699943
132	0.349694444
133	0.3489672318
134	0.3481949561
135	0.3476063644
136	0.3471063849
137	0.3463404236
138	0.3458095343
139	0.3451482495
140	0.3445922022
141	0.3440977565
142	0.3436721743
143	0.3430318554
144	0.3423594362
145	0.3419036988
146	0.3412446997
147	0.3408792886
148	0.3403153875
149	0.3396922727
150	0.3394289304
151	0.3388922329
152	0.3384095394
153	0.3380345416
154	0.3375912425
155	0.3370609866
156	0.3367046425
157	0.3361943661
158	0.3358245738
159	0.3353824601
160	0.334965459
161	0.3345842769
162	0.3341319725
163	0.3336806208
164	0.3332465583
165	0.3328414036
166	0.3324268052
167	0.3321239153
168	0.3318296725
169	0.3314896159
170	0.3310979893
171	0.330718112
172	0.3303664545
173	0.3298537363
174	0.3294869629
175	0.3291634142
176	0.3286982525
177	0.3282087262
178	0.3278433385
179	0.3272673427
180	0.3269909384
181	0.3266301821
182	0.326362449
183	0.3260737708
184	0.3257867834
185	0.3255360109
186	0.3252007617
187	0.3247300753
188	0.3243760501
189	0.3239722251
190	0.3236134161
191	0.3232178737
192	0.3228035151
193	0.3223900163
194	0.3220559105
195	0.3217023016
196	0.3213841306
197	0.3211107851
198	0.3206726928
199	0.3202889419
