iter	Passed	Remaining
0	3	3227
1	6	3010
2	8	2918
3	12	3041
4	15	3077
5	18	3095
6	22	3220
7	26	3347
8	31	3493
9	36	3651
10	42	3841
11	46	3837
12	48	3664
13	50	3532
14	51	3371
15	53	3285
16	55	3207
17	57	3134
18	59	3067
19	61	3013
20	62	2922
21	64	2882
22	66	2838
23	67	2756
24	70	2739
25	72	2708
26	74	2675
27	76	2643
28	78	2619
29	80	2589
30	81	2561
31	83	2536
32	87	2560
33	97	2763
34	102	2828
35	106	2857
36	111	2895
37	113	2880
38	117	2895
39	122	2929
40	128	3012
41	134	3063
42	139	3096
43	142	3088
44	148	3159
45	154	3195
46	156	3165
47	160	3183
48	164	3186
49	166	3163
50	168	3131
51	171	3127
52	174	3125
53	178	3120
54	182	3134
55	185	3126
56	187	3100
57	189	3078
58	191	3050
59	193	3028
60	196	3031
61	200	3038
62	204	3036
63	210	3073
64	212	3052
65	216	3067
66	221	3085
67	225	3093
68	228	3082
69	230	3067
70	235	3081
71	238	3072
72	240	3052
73	243	3048
74	246	3041
75	249	3034
76	254	3044
77	256	3034
78	258	3012
79	260	2998
80	263	2990
81	265	2970
82	267	2954
83	269	2939
84	272	2931
85	274	2914
86	276	2897
87	279	2898
88	283	2900
89	286	2892
90	288	2882
91	291	2877
92	294	2873
93	296	2860
94	298	2844
95	300	2831
96	302	2819
97	305	2815
98	309	2820
99	311	2807
100	314	2800
101	317	2798
102	320	2792
103	323	2787
104	325	2774
105	327	2764
106	331	2764
107	334	2762
108	337	2758
109	339	2749
110	343	2749
111	346	2749
112	349	2740
113	352	2738
114	356	2741
115	364	2776
116	368	2777
117	370	2771
118	372	2758
119	374	2749
120	379	2758
121	382	2755
122	384	2742
123	386	2730
124	389	2724
125	391	2715
126	393	2705
127	395	2697
128	398	2689
129	401	2685
130	403	2679
131	406	2676
132	409	2670
133	412	2663
134	414	2656
135	416	2646
136	418	2638
137	421	2630
138	423	2625
139	429	2638
140	431	2628
141	433	2620
142	436	2613
143	438	2604
144	440	2596
145	442	2588
146	444	2581
147	447	2573
148	448	2563
149	451	2556
150	453	2548
151	455	2541
152	457	2534
153	461	2533
154	463	2528
155	466	2525
156	468	2517
157	471	2513
158	474	2507
159	477	2505
160	479	2501
161	482	2495
162	484	2488
163	487	2486
164	490	2484
165	493	2480
166	497	2479
167	498	2470
168	502	2469
169	504	2462
170	507	2459
171	510	2456
172	513	2453
173	515	2447
174	517	2440
175	520	2435
176	522	2429
177	526	2430
178	529	2427
179	531	2419
180	532	2411
181	535	2405
182	537	2397
183	540	2398
184	543	2394
185	546	2391
186	548	2383
187	550	2377
188	552	2371
189	555	2367
190	558	2366
191	560	2359
192	564	2361
193	567	2357
194	570	2354
195	572	2350
196	575	2344
197	578	2341
198	579	2334
199	583	2332
200	585	2328
201	588	2325
202	591	2321
203	593	2315
204	595	2308
205	597	2303
206	600	2301
207	604	2299
208	607	2297
209	610	2296
210	614	2297
211	618	2298
212	620	2293
213	624	2293
214	626	2288
215	629	2283
216	631	2280
217	634	2275
218	638	2277
219	641	2274
220	644	2271
221	648	2271
222	651	2271
223	654	2266
224	656	2260
225	658	2255
226	660	2249
227	662	2244
228	664	2238
229	668	2236
230	671	2236
231	674	2232
232	677	2231
233	680	2227
234	682	2221
235	684	2215
236	686	2209
237	689	2207
238	691	2202
239	695	2202
240	697	2197
241	700	2193
242	702	2189
243	706	2187
244	708	2182
245	710	2176
246	712	2172
247	714	2166
248	716	2161
249	718	2156
250	720	2151
251	723	2148
252	725	2141
253	727	2137
254	731	2138
255	736	2139
256	741	2143
257	743	2137
258	745	2133
259	748	2130
260	751	2127
261	753	2123
262	755	2117
263	757	2112
264	760	2109
265	763	2107
266	767	2106
267	769	2102
268	772	2099
269	774	2093
270	777	2091
271	780	2088
272	782	2084
273	786	2082
274	788	2078
275	790	2073
276	793	2072
277	796	2069
278	799	2066
279	801	2061
280	803	2057
281	805	2050
282	807	2044
283	808	2039
284	812	2038
285	814	2034
286	817	2030
287	819	2026
288	822	2023
289	826	2022
290	828	2019
291	831	2017
292	834	2014
293	837	2011
294	839	2006
295	842	2004
296	845	2000
297	848	1999
298	851	1996
299	853	1990
300	855	1986
301	858	1984
302	861	1982
303	864	1979
304	866	1975
305	869	1971
306	872	1969
307	875	1966
308	878	1963
309	881	1962
310	884	1960
311	887	1956
312	890	1953
313	892	1949
314	894	1946
315	896	1940
316	898	1936
317	901	1932
318	904	1929
319	905	1924
320	908	1921
321	910	1917
322	912	1912
323	915	1909
324	917	1904
325	919	1900
326	921	1897
327	925	1895
328	928	1893
329	931	1891
330	933	1887
331	936	1884
332	939	1881
333	941	1878
334	945	1876
335	948	1874
336	950	1869
337	952	1865
338	958	1868
339	962	1868
340	965	1865
341	968	1862
342	970	1858
343	972	1854
344	975	1851
345	976	1846
346	978	1841
347	981	1838
348	984	1836
349	986	1832
350	987	1826
351	989	1822
352	991	1817
353	994	1815
354	997	1812
355	1000	1809
356	1002	1806
357	1006	1805
358	1009	1802
359	1011	1798
360	1013	1793
361	1015	1790
362	1018	1786
