iter	Logloss
0	0.6616650521
1	0.6428638443
2	0.6245966696
3	0.6064894604
4	0.5906606039
5	0.573308312
6	0.559936335
7	0.5459896546
8	0.5317698551
9	0.518537586
10	0.5090308518
11	0.4990664247
12	0.4911005637
13	0.4773720537
14	0.4656146297
15	0.4597649829
16	0.4494847082
17	0.4404237498
18	0.4350220967
19	0.430934652
20	0.4261760106
21	0.4203844245
22	0.4157833282
23	0.4121543244
24	0.4062342511
25	0.4022363172
26	0.3991289141
27	0.3960704525
28	0.3931538386
29	0.3907186752
30	0.3875210564
31	0.3854134726
32	0.3796776921
33	0.3772324232
34	0.3749177392
35	0.373000517
36	0.3710850345
37	0.3683659072
38	0.3666646025
39	0.364707926
40	0.3607216676
41	0.3591005008
42	0.3555806356
43	0.3526921334
44	0.3512766093
45	0.3483828367
46	0.3455828748
47	0.3417751908
48	0.339376798
49	0.3383517097
50	0.3365322966
51	0.3350833616
52	0.3327994166
53	0.3318324299
54	0.3296611665
55	0.3281247234
56	0.3265864753
57	0.3255322492
58	0.3237916988
59	0.3224974533
60	0.3191638403
61	0.31649103
62	0.3151065166
63	0.3142841343
64	0.3128686762
65	0.311421158
66	0.3107659335
67	0.3085161062
68	0.3073775904
69	0.3062349459
70	0.3056119108
71	0.3047487949
72	0.3040665734
73	0.3033712974
74	0.3022598827
75	0.301788861
76	0.2997583575
77	0.298573533
78	0.2977893422
79	0.2971920081
80	0.2961623867
81	0.2950095015
82	0.2945041679
83	0.2940061422
84	0.2934940234
85	0.2929726149
86	0.2915902564
87	0.2910952756
88	0.2905397978
89	0.2896298635
90	0.2886947805
91	0.2879565729
92	0.2870694099
93	0.2865293742
94	0.2858598462
95	0.2852655125
96	0.2845271856
97	0.2837405003
98	0.282917197
99	0.2825502615
100	0.2822122668
101	0.2815484662
102	0.2810271002
103	0.2805345831
104	0.2798418294
105	0.2788117591
106	0.2783047872
107	0.2778551329
108	0.2773046815
109	0.276883191
110	0.2765641114
111	0.2758458238
112	0.2753292835
113	0.2743097207
114	0.2736173846
115	0.273089886
116	0.2727265129
117	0.272192096
118	0.2708001874
119	0.270366572
120	0.2700405062
121	0.26969032
122	0.2693843066
123	0.2690097795
124	0.2686732849
125	0.268262018
126	0.2679623823
127	0.2676616744
128	0.2666721493
129	0.266398568
130	0.2661256512
131	0.2654816666
132	0.264993444
133	0.2646849025
134	0.2642464862
135	0.2638699321
136	0.2635083332
137	0.2630292936
138	0.2627294323
139	0.262455707
140	0.2621478544
141	0.2612271279
142	0.2608678809
143	0.2606199833
144	0.260178935
145	0.2591589776
146	0.258915463
147	0.2584117355
148	0.2581358584
149	0.2578538553
150	0.2571606083
151	0.2563078089
152	0.2560181082
153	0.2556857207
154	0.2552486772
155	0.2546855656
156	0.2544168117
157	0.2539796299
158	0.2535106612
159	0.2531042701
160	0.2528302054
161	0.2524731738
162	0.252235968
163	0.2519136755
164	0.2514526131
165	0.2504631992
166	0.2498227581
167	0.249558732
168	0.2493211133
169	0.2490626684
170	0.2484628152
171	0.2480903552
172	0.2478784019
173	0.2475743012
174	0.2472538862
175	0.2470477108
176	0.2468042952
177	0.2463869657
178	0.2462065963
179	0.2458998623
180	0.2451594351
181	0.2449552745
182	0.2446882361
183	0.2442390767
184	0.2439961165
185	0.2437441701
186	0.2434556879
187	0.2432003579
188	0.2427523302
189	0.2424598765
190	0.2421202644
191	0.2418742143
192	0.2415973753
193	0.2414138569
194	0.2411676407
195	0.2407404383
196	0.2404182311
197	0.2402216194
198	0.2400061544
199	0.2394878933
200	0.2393328167
201	0.2387444743
202	0.2384671042
203	0.23833467
204	0.2381594769
205	0.2377458214
206	0.2376011626
207	0.2373167121
208	0.2370538541
209	0.2368316115
210	0.2364487032
211	0.2358607402
212	0.2356958789
213	0.2354884901
214	0.2352706454
215	0.2350603616
216	0.2347856015
217	0.2345289664
218	0.2343607875
219	0.2341937287
220	0.2339806202
221	0.2335546456
222	0.2333864578
223	0.2331462682
224	0.2327926449
225	0.2325791092
226	0.2323802062
227	0.2321528746
228	0.2320107107
229	0.2316080828
230	0.231043338
231	0.2308517627
232	0.230672014
233	0.2304208078
234	0.2300476305
235	0.2297020961
236	0.2292693991
237	0.2289453133
238	0.2287059545
239	0.2285849461
240	0.2284490635
241	0.2280781889
242	0.2278899562
243	0.2276432953
244	0.2274306435
