iter	Passed	Remaining
0	79	78928
1	231	115436
2	283	94114
3	329	82141
4	395	78612
5	470	78001
6	565	80173
7	653	81019
8	768	84566
9	814	80658
10	874	78656
11	931	76674
12	989	75089
13	1033	72798
14	1095	71912
15	1154	71013
16	1205	69721
17	1268	69186
18	1329	68663
19	1396	68419
20	1461	68149
21	1517	67479
22	1598	67889
23	1666	67774
24	1718	67008
25	1783	66819
26	1846	66549
27	1924	66801
28	1967	65873
29	2011	65023
30	2101	65698
31	2199	66538
32	2314	67830
33	2369	67310
34	2464	67955
35	2538	67975
36	2584	67275
37	2634	66704
38	2693	66364
39	2765	66382
40	2850	66683
41	2948	67253
42	3037	67609
43	3130	68023
44	3197	67853
45	3271	67854
46	3324	67403
47	3399	67432
48	3460	67168
49	3521	66910
50	3565	66352
51	3630	66189
52	3691	65952
53	3757	65820
54	3809	65460
55	3875	65326
56	3929	65011
57	3984	64707
58	4034	64345
59	4099	64233
60	4149	63873
61	4190	63392
62	4252	63241
63	4307	62990
64	4357	62677
65	4422	62583
66	4484	62454
67	4550	62372
68	4606	62150
69	4663	61956
70	4720	61766
71	4784	61668
72	4830	61335
73	4899	61315
74	4963	61211
75	5036	61227
76	5093	61056
77	5153	60921
78	5201	60640
79	5239	60258
80	5320	60359
81	5375	60181
82	5417	59852
83	5491	59878
84	5564	59901
85	5617	59703
86	5685	59669
87	5749	59590
88	5797	59337
89	5865	59302
90	5928	59218
91	5967	58899
92	6016	58677
93	6054	58353
94	6096	58078
95	6141	57831
96	6188	57609
97	6242	57452
98	6300	57341
99	6348	57135
100	6426	57198
101	6465	56921
102	6516	56749
103	6566	56570
104	6635	56557
105	6678	56329
106	6742	56270
107	6797	56143
108	6880	56241
109	6951	56241
110	7002	56085
111	7057	55958
112	7118	55880
113	7192	55899
114	7254	55825
115	7326	55829
116	7391	55780
117	7455	55730
118	7531	55758
119	7589	55657
120	7647	55553
121	7711	55496
122	7770	55403
123	7828	55307
124	7883	55184
125	7969	55281
126	8057	55385
127	8214	55961
128	8321	56187
129	8428	56407
130	8507	56434
131	8559	56282
132	8625	56228
133	8666	56011
134	8720	55876
135	8790	55843
136	8842	55701
137	8897	55574
138	8941	55386
139	8994	55249
140	9050	55135
141	9145	55260
142	9194	55100
143	9245	54959
144	9314	54923
145	9379	54863
146	9440	54780
147	9502	54706
148	9550	54549
149	9606	54437
150	9662	54326
151	9711	54177
152	9771	54093
153	9811	53897
154	9873	53824
155	9944	53804
156	9995	53669
157	10049	53556
158	10109	53470
159	10166	53371
160	10218	53252
161	10306	53316
162	10362	53208
163	10411	53072
164	10486	53069
165	10548	52995
166	10600	52876
167	10652	52757
168	10715	52688
169	10781	52641
170	10831	52512
171	10887	52413
172	10945	52323
173	11017	52303
174	11070	52190
175	11151	52211
176	11215	52149
177	11269	52041
178	11332	51978
179	11432	52082
180	11492	52003
181	11547	51901
182	11597	51776
183	11641	51625
184	11690	51499
185	11742	51390
186	11796	51285
187	11865	51250
188	11957	51308
189	12013	51215
190	12089	51205
191	12143	51105
192	12199	51010
193	12269	50977
194	12346	50967
195	12415	50929
196	12551	51162
197	12639	51195
198	12753	51335
199	12815	51263
200	12869	51157
201	12910	51004
202	12965	50904
203	13003	50737
204	13067	50676
205	13134	50623
206	13192	50540
207	13237	50402
208	13310	50375
209	13378	50329
210	13446	50282
211	13503	50191
212	13551	50072
213	13620	50027
214	13685	49967
215	13726	49822
216	13770	49687
217	13844	49660
218	13898	49566
219	13955	49479
220	14010	49384
221	14075	49327
222	14148	49297
223	14210	49227
224	14283	49199
225	14353	49156
226	14424	49117
227	14492	49072
228	14535	48939
229	14585	48828
230	14674	48851
231	14748	48821
232	14840	48853
233	14905	48792
234	14950	48669
235	15004	48573
236	15066	48506
237	15124	48423
238	15177	48325
239	15245	48276
240	15311	48221
241	15378	48169
242	15464	48175
243	15552	48187
244	15664	48272
245	15785	48381
246	15894	48456
247	16044	48652
248	16166	48758
249	16291	48875
250	16363	48828
251	16482	48923
252	16571	48928
253	16648	48895
254	16740	48909
255	16836	48930
256	16916	48905
257	16982	48841
258	17093	48904
259	17187	48919
260	17333	49078
261	17413	49051
262	17481	48988
263	17582	49017
264	17682	49042
265	17797	49109
266	17891	49118
267	17939	48999
268	18005	48930
269	18060	48830
270	18098	48686
271	18146	48568
272	18207	48487
273	18257	48376
274	18309	48269
275	18374	48200
276	18423	48086
277	18479	47994
278	18525	47873
279	18578	47773
280	18638	47690
281	18698	47607
282	18754	47516
283	18806	47414
284	18874	47352
285	19008	47456
286	19179	47648
287	19273	47648
288	19388	47700
289	19504	47753
290	19581	47708
291	19684	47728
292	19803	47784
293	19877	47733
294	19985	47761
295	20025	47627
296	20074	47515
297	20191	47564
298	20275	47536
299	20322	47419
300	20379	47326
301	20427	47213
302	20504	47166
303	20572	47099
304	20677	47116
305	20759	47082
306	20854	47074
307	20969	47112
308	21058	47092
309	21117	47002
310	21177	46918
311	21234	46825
312	21290	46729
313	21390	46731
314	21515	46787
315	21625	46810
316	21727	46812
317	21845	46851
318	21902	46756
319	21993	46735
320	22160	46874
321	22256	46862
322	22306	46752
323	22400	46737
324	22492	46716
325	22550	46623
326	22615	46545
327	22716	46541
328	22779	46459
329	22853	46398
330	22902	46289
331	22999	46276
332	23139	46348
333	23226	46314
334	23345	46341
335	23416	46274
336	23501	46236
337	23574	46172
338	23648	46110
339	23730	46065
340	23794	45984
341	23889	45962
342	23997	45967
343	24155	46063
344	24248	46036
345	24336	45999
346	24403	45923
347	24464	45835
348	24513	45725
349	24643	45766
350	24706	45682
351	24768	45597
352	24814	45482
353	24858	45363
354	24917	45273
355	25002	45230
356	25057	45131
357	25117	45042
358	25184	44967
359	25252	44892
360	25297	44778
361	25386	44741
362	25480	44713
363	25579	44693
364	25656	44635
365	25714	44544
366	25769	44447
367	25840	44377
368	25929	44339
369	25991	44255
370	26073	44205
371	26143	44134
372	26222	44079
373	26282	43992
374	26360	43934
375	26441	43882
376	26521	43826
377	26573	43726
378	26645	43658
379	26700	43564
380	26780	43508
381	26844	43428
382	27012	43515
383	27146	43547
384	27232	43501
385	27276	43387
386	27336	43300
387	27394	43209
388	27436	43094
389	27533	43065
390	27598	42986
391	27661	42904
392	27755	42869
393	27817	42784
394	27876	42697
395	27929	42599
396	27965	42476
397	28040	42412
398	28083	42301
399	28151	42227
400	28197	42120
401	28248	42021
402	28313	41944
403	28393	41887
404	28455	41804
405	28512	41715
